PDF,Entities,Relationships
113.pdf,"[('Japan', 'LOC'), ('Group-of-8 (G-8)', 'ORG'), ('Lake Toya', 'LOC'), ('Germany', 'LOC'), ('U.S.', 'LOC'), ('Heiligendamm', 'LOC'), ('Major Economies Meeting (MEM)', 'ORG'), ('Masaharu Kono', 'PER'), ('Bernd Pfaffenback', 'PER'), ('Tokyo', 'LOC'), ('Copenhagen', 'LOC'), ('climate change', 'MISC'), ('emerging economies', 'MISC')]","[('Japan', 'Group-of-8 (G-8)', 'chairs', 'NE'), ('Lake Toya', 'Group-of-8 (G-8)', 'hosts', 'NE'), ('Japan', 'climate change', 'commits to', 'PV'), ('Germany', 'U.S.', 'believes crucial issue', 'NE'), ('Heiligendamm', 'Group-of-8 (G-8)', 'site of', 'NE'), ('Major Economies Meeting (MEM)', 'Group-of-8 (G-8)', 'related to', 'NE'), ('Masaharu Kono', 'Japan', 'sherpa of', 'NE'), ('Masaharu Kono', 'Bernd Pfaffenback', 'exchanged with', 'NE'), ('Germany', 'U.S.', 'responds to', 'NE'), ('Germany', 'Major Economies Meeting (MEM)', 'participates in', 'NE'), ('Germany', 'climate change', 'concerned about', 'NG'), ('emerging economies', 'Major Economies Meeting (MEM)', 'participates in', 'NE'), ('emerging economies', 'Copenhagen', 'waits for summit in', 'NE')]"
114.pdf,"[('Ban Ki-moon', 'PER'), ('Angela Merkel', 'PER'), ('EU', 'ORG'), ('UN', 'ORG'), ('US', 'ORG'), ('Poznan Conference', 'EVT'), ('Copenhagen Talks', 'EVT')]","[('Ban Ki-moon', 'EU', 'expects from', 'NE'), ('Ban Ki-moon', 'UN', 'works with', 'NE'), ('Ban Ki-moon', 'Angela Merkel', 'praised', 'PV'), ('Ban Ki-moon', 'US', 'expects from', 'NE'), ('Angela Merkel', 'EU', 'leads', 'NE'), ('Angela Merkel', 'Ban Ki-moon', 'agreed with', 'NE'), ('EU', 'Poznan Conference', 'influences', 'NE'), ('EU', 'Copenhagen Talks', 'influences', 'NE'), ('US', 'Copenhagen Talks', 'participates in', 'NE')]"
13.pdf,"[('Non Staff member 1', 'PER'), ('Official 1', 'PER'), ('Official 2', 'PER'), ('Official 2’s Secretary', 'PER'), ('Restaurant 1', 'ORG'), ('Hajvali', 'LOC'), ('Pristina Airport', 'ORG'), ('KPS officer 2', 'PER'), ('Non Staff member 4', 'PER'), ('Non Staff member 5', 'PER'), ('Non Staff member 2', 'MISC'), ('Non Staff member 3', 'MISC')]","[('Non Staff member 1', 'Official 1', 'contacted by', 'NE'), ('Official 2’s Secretary', 'Non Staff member 1', 'requested', 'NE'), ('Non Staff member 1', 'Pristina Airport', 'seeks employment at', 'NE'), ('Non Staff member 1', 'KPS officer 2', 'contacted by', 'NE'), ('Non Staff member 5', 'Non Staff member 4', 'met', 'NE'), ('Non Staff member 4', 'Pristina Airport', 'seeks employment at', 'NE'), ('Non Staff member 1', 'Official 1', 'asked', 'NE'), ('Non Staff member 2', 'Official 1', 'paid', 'NG'), ('Non Staff member 3', 'Official 1', 'paid', 'NG'), ('Non Staff member 1', 'Official 2’s Secretary', 'paid', 'NG')]"
14.pdf,"[('Kosovo Trust Agency', 'ORG'), ('Internal Audit Unit', 'ORG'), ('Pristina Airport', 'LOC'), ('Vendor 1', 'ORG'), ('Vendor 2', 'ORG'), ('Vendor 1 Manager', 'PER'), ('Procurement Officer 1', 'PER'), ('Finance Officer', 'PER'), ('Bid Evaluation Committee', 'ORG'), ('ITF', 'ORG'), ('Procurement process', 'MISC')]","[('Kosovo Trust Agency', 'Internal Audit Unit', 'contains', 'NE'), ('Internal Audit Unit', 'Pristina Airport', 'audited', 'NE'), ('Pristina Airport', 'Vendor 1', 'awarded contract to', 'NE'), ('Pristina Airport', 'Vendor 2', 'tender process involved', 'NE'), ('Vendor 1', 'Vendor 1 Manager', 'managed by', 'NE'), ('Vendor 1 Manager', 'Procurement Officer 1', 'alleged bribery of', 'NG'), ('Vendor 1 Manager', 'Finance Officer', 'alleged bribery of', 'NG'), ('Vendor 1', 'Vendor 2', 'competed with', 'NE'), ('Vendor 1 Manager', 'Procurement Officer 1', 'legal action against', 'NG'), ('Procurement Officer 1', 'Bid Evaluation Committee', 'replaced member of', 'NE'), ('Finance Officer', 'Bid Evaluation Committee', 'member of', 'NE'), ('Procurement Officer 1', 'Vendor 2', 'favored', 'NG'), ('Vendor 1 Manager', 'Procurement Officer 1', 'threatened', 'NG'), ('ITF', 'Procurement Officer 1', 'interviewed', 'NE'), ('ITF', 'Procurement process', 'investigated', 'NE')]"
15.pdf,"[('Investigation Task Force', 'ORG'), ('Cargo Manager', 'PER'), ('Pristina Airport', 'LOC'), ('Member State’s KFOR', 'ORG'), ('Airline', 'ORG')]","[('Investigation Task Force', 'Cargo Manager', 'received letter from', 'NE'), ('Cargo Manager', 'Pristina Airport', 'sent letter to', 'NE'), ('Cargo Manager', 'Member State’s KFOR', 'letter concerned', 'NE'), ('Pristina Airport', 'Airline', 'cargo handling agent for', 'NE'), ('Airline', 'Member State’s KFOR', 'mail handling agent for', 'NE'), ('Pristina Airport', 'Airline', 'collects revenues for', 'NE')]"
16.pdf,"[('Vendor 4', 'ORG'), ('Vendor 5', 'ORG'), ('Vendor 6', 'ORG'), ('Gotive H41', 'ORG'), ('Vendor 1', 'ORG'), ('KVS veterinarians', 'PER'), ('DRA logistics officer 2', 'PER'), ('ID/OIOS', 'ORG'), ('DRA', 'ORG'), ('Vendor 2', 'ORG'), ('Vendor 3', 'ORG'), ('EAR consultant', 'PER'), ('SPUVESEK', 'ORG'), ('Central Procurement Entity', 'ORG'), ('DRA logistics officer 1', 'PER'), ('PRIO', 'MISC')]","[('Vendor 4', 'Vendor 5', 'same device', 'NE'), ('Vendor 4', 'Vendor 6', 'same device', 'NE'), ('Vendor 5', 'Vendor 6', 'same device', 'NE'), ('Vendor 1', 'KVS veterinarians', 'inappropriate for', 'NG'), ('DRA logistics officer 2', 'DRA', 'advised by', 'NE'), ('DRA', 'KVS veterinarians', 'employs', 'NE'), ('Vendor 2', 'DRA logistics officer 1', 'disqualified by', 'NE'), ('Vendor 3', 'DRA logistics officer 1', 'disqualified by', 'NE'), ('EAR consultant', 'SPUVESEK', 'prepared for', 'NE'), ('DRA logistics officer 2', 'ID/OIOS', 'told', 'NE'), ('ID/OIOS', 'DRA', 'investigated', 'NE'), ('PRIO', 'ID/OIOS', 'requested by', 'NE')]"
2.pdf,"[('ITF', 'ORG'), ('Prishtina Airport', 'LOC'), ('ATCS', 'ORG'), ('ATCS Official', 'PER'), ('Finance Officer 1', 'PER'), ('Finance Officer 2', 'PER'), ('Division Manager', 'PER'), ('UNMIK Pillar 4 – KTA', 'ORG'), ('Italy', 'LOC'), ('Canada', 'LOC'), ('United Kingdom', 'LOC'), ('Official 1', 'PER'), ('Official 3', 'PER'), ('Official 4', 'PER'), ('Official 2', 'PER'), ('Employee 1', 'PER'), ('Employee 2', 'PER'), ('Employee 3', 'PER'), ('Employee 4', 'PER'), ('Employee 5', 'PER'), ('UNMIK Aviation Transport', 'MISC')]","[('ITF', 'Prishtina Airport', 'investigated', 'NE'), ('ATCS', 'Prishtina Airport', 'manages', 'NE'), ('ATCS', 'UNMIK Pillar 4 – KTA', 'operates under', 'NE'), ('ATCS Official', 'ATCS', 'works at', 'NE'), ('Finance Officer 1', 'ATCS', 'works at', 'NE'), ('Finance Officer 2', 'ATCS', 'works at', 'NE'), ('ATCS Official', 'Division Manager', 'reports to', 'NE'), ('ATCS Official', 'Finance Officer 1', 'supervises', 'NE'), ('ATCS Official', 'Finance Officer 2', 'supervises', 'NE'), ('Division Manager', 'UNMIK Pillar 4 – KTA', 'works at', 'NE'), ('ATCS Official', 'Italy', 'travelled to', 'NE'), ('ATCS Official', 'Canada', 'travelled to', 'NE'), ('ATCS Official', 'United Kingdom', 'travelled to', 'NE'), ('Official 1', 'Prishtina Airport', 'works at', 'NE'), ('Official 1', 'ATCS Official', 'travelled with', 'NE'), ('Official 1', 'Official 3', 'travelled with', 'NE'), ('Official 1', 'United Kingdom', 'travelled to', 'NE'), ('Official 3', 'ATCS Official', 'travelled with', 'NE'), ('Official 3', 'United Kingdom', 'travelled to', 'NE'), ('Official 2', 'Prishtina Airport', 'works at', 'NE'), ('Employee 1', 'UNMIK Aviation Transport', 'authorized signatory', 'NE'), ('Employee 2', 'UNMIK Aviation Transport', 'authorized signatory', 'NE'), ('Employee 3', 'UNMIK Aviation Transport', 'authorized signatory', 'NE'), ('Employee 4', 'UNMIK Aviation Transport', 'authorized signatory', 'NE'), ('Employee 5', 'UNMIK Aviation Transport', 'authorized signatory', 'NE'), ('Official 4', 'Prishtina Airport', 'works at', 'NE'), ('ATCS Official', 'Division Manager', 'financial mismanagement', 'NG'), ('ATCS', 'ITF', 'poor financial practices', 'NG')]"
21.pdf,"[('Finance Assistant 1', 'PER'), ('ID/OIOS', 'ORG'), ('UNDP', 'ORG'), ('Finance Department Supervisor', 'PER'), ('Photocopying Assistant 1', 'PER'), ('Photocopying Assistant 2', 'PER'), ('Finance Assistant 2', 'PER'), ('OIOS', 'ORG'), ('UNON', 'ORG'), ('UNEP Narobi', 'ORG'), ('UNDP Bratislava', 'ORG')]","[('Finance Assistant 1', 'ID/OIOS', 'questioned by', 'NE'), ('Photocopying Assistant 1', 'Finance Department Supervisor', 'relative of', 'NE'), ('Photocopying Assistant 2', 'Finance Assistant 2', 'daughter of', 'NE'), ('Photocopying Assistant 2', 'Finance Assistant 2', 'assisted', 'NE'), ('Photocopying Assistant 1', 'UNDP', 'worked at', 'NE'), ('Photocopying Assistant 2', 'UNDP', 'worked at', 'NE'), ('UNDP Bratislava', 'UNDP', 'part of', 'NE'), ('UNON', 'UNDP', 'reconciled accounts with', 'NE'), ('UNEP Narobi', 'UNDP', 'fraudulent payments from', 'NG')]"
24.pdf,"[('Mr. Mzumara', 'PER'), ('Ambassador Negroponte', 'PER'), ('staff member', 'PER'), ('John Kerry', 'PER'), ('Senator Dodd', 'PER'), ('Hiwot Abebe', 'PER'), ('ECA', 'ORG'), ('UN', 'ORG'), ('USA', 'LOC'), ('President', 'PER'), ('Vice-President', 'PER'), ('White House', 'ORG')]","[('staff member', 'Mr. Mzumara', 'emailed', 'NE'), ('staff member', 'Ambassador Negroponte', 'emailed', 'NE'), ('Mr. Mzumara', 'staff member', 'replied to', 'NE'), ('staff member', 'Ambassador Negroponte', 'wrote to', 'NE'), ('Hiwot Abebe', 'President', 'emailed', 'NE'), ('Hiwot Abebe', 'Vice-President', 'emailed', 'NE'), ('Hiwot Abebe', 'John Kerry', 'emailed', 'NE'), ('Hiwot Abebe', 'Senator Dodd', 'emailed', 'NE'), ('staff member', 'White House', 'emailed', 'NE'), ('staff member', 'UN', 'hoped for help from', 'NE'), ('Hiwot Abebe', 'ECA', 'complained to', 'NG')]"
26.pdf,"[('ACGD Officer', 'PER'), ('Official 2', 'PER'), ('ECA', 'ORG'), ('UNDP Mauritius', 'ORG'), ('UNDP HQ', 'ORG'), ('Barclays', 'ORG'), ('Official 4', 'PER'), ('ID/OIOS Investigators', 'PER'), ('participants', 'MISC')]","[('ACGD Officer', 'Official 2', 'received request from', 'NE'), ('ECA', 'UNDP Mauritius', 'wrote to', 'NE'), ('UNDP Mauritius', 'UNDP HQ', 'requested from', 'NE'), ('UNDP HQ', 'Barclays', 'authorized transfer to', 'NE'), ('ACGD Officer', 'Barclays', 'cashed funds from', 'NE'), ('ACGD Officer', 'participants', 'disbursed DSA to', 'NE'), ('ACGD Officer', 'Official 4', 'received memoranda from', 'NE'), ('ACGD Officer', 'ID/OIOS Investigators', 'questioned by', 'NE')]"
27.pdf,"[('UNEP Staff Member 1', 'PER'), ('UNEP Staff Member 2', 'PER'), ('UNEP/PCAU Consultant', 'PER'), ('BTF', 'ORG'), ('PCAU', 'ORG'), ('UNEP', 'ORG'), ('ID/OIOS', 'ORG'), ('UNOPS', 'ORG'), ('former company', 'MISC')]","[('UNEP Staff Member 1', 'BTF', 'worked for', 'NE'), ('UNEP Staff Member 1', 'UNEP', 'held consultancy contract with', 'NE'), ('UNEP Staff Member 1', 'former company', 'shareholder and senior officer of', 'NE'), ('UNEP Staff Member 2', 'PCAU', 'received appointment with', 'NE'), ('UNEP Staff Member 2', 'BTF', 'worked for', 'NE'), ('UNEP Staff Member 2', 'former company', 'no financial relationship with', 'NE'), ('UNEP/PCAU Consultant', 'PCAU', 'worked for', 'NE'), ('UNEP/PCAU Consultant', 'BTF', 'worked for', 'NE'), ('UNEP/PCAU Consultant', 'former company', 'no financial relationship with', 'NE'), ('BTF', 'former company', 'contracts with', 'NE'), ('UNEP', 'ID/OIOS', 'advised', 'NE'), ('UNEP', 'UNOPS', 'departed from rules with', 'NG'), ('BTF', 'UNOPS', 'received contracts through', 'NE')]"
31.pdf,"[('Pristina Airport', 'LOC'), ('UNMIK', 'ORG'), ('Civil Administration Pillar', 'ORG'), ('Official 1', 'PER'), ('Official 2', 'PER'), ('Department of Transport', 'ORG'), ('DOTI', 'ORG'), ('Transport Sector', 'ORG'), ('UNMIK Directorate', 'ORG'), ('Kosovo Trust Agency', 'ORG'), ('Pillar IV', 'ORG'), ('Airport Sector', 'ORG'), ('Divisional Manager', 'PER'), ('PEAP Official', 'PER'), ('Air Traffic Control', 'ORG'), ('KFOR', 'ORG'), ('ICAO', 'ORG'), ('Consulting Firm', 'ORG'), ('Consultant', 'PER'), ('Airport Engineer I', 'PER'), ('Airport Engineer 2', 'PER'), ('Airport Engineer 3', 'PER'), ('armed forces', 'MISC')]","[('Pristina Airport', 'UNMIK', 'managed by', 'NE'), ('Official 1', 'UNMIK', 'worked at', 'NE'), ('Official 2', 'UNMIK', 'worked at', 'NE'), ('Department of Transport', 'UNMIK', 'part of', 'NE'), ('DOTI', 'UNMIK', 'part of', 'NE'), ('Transport Sector', 'UNMIK', 'part of', 'NE'), ('UNMIK Directorate', 'UNMIK', 'part of', 'NE'), ('DOTI', 'Official 1', 'supervised by', 'NE'), ('Official 1', 'DOTI', 'worked at', 'NE'), ('Official 2', 'DOTI', 'worked at', 'NE'), ('Airport Engineer I', 'armed forces', 'seconded from', 'NE'), ('Airport Engineer 2', 'armed forces', 'seconded from', 'NE'), ('Airport Engineer 3', 'armed forces', 'seconded from', 'NE'), ('Consultant', 'Consulting Firm', 'from', 'NE'), ('Pristina Airport', 'Kosovo Trust Agency', 'managed by', 'NE'), ('Pristina Airport', 'Pillar IV', 'managed by', 'NE'), ('Divisional Manager', 'Airport Sector', 'works at', 'NE'), ('PEAP Official', 'Divisional Manager', 'reports to', 'NE'), ('Air Traffic Control', 'Divisional Manager', 'reports to', 'NE'), ('Pristina Airport', 'KFOR', 'managed by', 'NE')]"
